"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","stim","timepoint","comparison"
"STAT1",2.91143505410629e-11,1.55279555098857,0.878,0.746,1.82576092243005e-06,"17","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"EPSTI1",8.09702760711894e-10,1.6862781575512,0.854,0.716,5.07764601242429e-05,"17","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ENSG00000231873",1.57008328621424e-09,-5.16756621859737,0,0.299,9.84599228784953e-05,"17","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ENSG00000274767",6.67054577279782e-09,-2.77662550183299,0.098,0.522,0.000418309925412152,"17","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"MX1",1.64333136039032e-08,2.42667588124691,0.598,0.164,0.00103053309610077,"17","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"XAF1",2.6330280090709e-08,1.76732209770123,0.695,0.537,0.00165117186448836,"17","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"RSAD2",1.35742059548993e-07,2.33587094339282,0.427,0.03,0.00851238455431732,"17","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ADAR",1.60430490905204e-07,0.834883700158366,0.866,0.836,0.0100605960846653,"17","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"PRKCB",5.64160490717151e-07,-0.951718876384564,0.817,0.97,0.0353785043728726,"17","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"IFI44L",5.93953223159086e-07,2.96897380626006,0.512,0.209,0.0372468066243063,"17","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"RNF217",7.20193556875739e-07,8.90362339624797,0.293,0,0.0451633379516776,"17","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"CMPK2",9.3398589722643e-07,3.80828583515324,0.366,0.015,0.0585702556150694,"17","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"DDX60",1.0092874084956e-06,1.76946584227592,0.646,0.403,0.0632924133867591,"17","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"MT-CO1",1.02202360550011e-06,0.810506705296773,0.878,0.881,0.0640911003009116,"17","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"AFF3",1.37926401300758e-06,-0.783567924274859,0.963,1,0.0864936462557054,"17","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"LINC02238",1.87181583248795e-06,7.95877062705481,0.293,0.015,0.117381570855319,"17","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"SLFN5",3.03133202737215e-06,0.722447136975846,0.817,0.806,0.190094831436508,"17","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"B2M",4.11324278780622e-06,-0.757231655992502,0.878,0.97,0.257941455223328,"17","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"PRRC2C",4.47290772884769e-06,0.49234037957772,0.976,0.985,0.280496043676039,"17","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"RNF213",4.58118663589896e-06,0.66841120563769,0.988,1,0.287286213937224,"17","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
