"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","stim","timepoint","comparison"
"ZFPM2",4.90919798462141e-16,-7.80720178782922,0.029,0.185,3.07855805615608e-11,"7","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"LINC01091",3.22430564046072e-15,-9.69750115703978,0.006,0.185,2.02196206713292e-10,"7","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"ENSG00000287937",1.05778702398147e-14,-12.9180906955712,0,0.147,6.63338242738781e-10,"7","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"SMOC2",1.5611234590396e-13,-6.26537720394586,0.003,0.131,9.7898052116373e-09,"7","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"NLGN1",3.45214340165153e-12,-7.42724474375875,0.012,0.169,2.16483912717568e-07,"7","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"PCLO",2.9732591053336e-11,-5.34049594888213,0.012,0.131,1.8645307849547e-06,"7","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"KCTD14",1.80391021151254e-10,-9.44842808969899,0.006,0.105,1.13123209363951e-05,"7","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"HRH1",2.1702191922008e-10,-6.45563580007297,0.006,0.131,1.36094445542912e-05,"7","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"LINC02934",2.81435394919477e-10,6.81496813330542,0.14,0.019,1.76488136154004e-05,"7","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"RMRP",3.00850030226375e-10,-3.75946312404171,0.047,0.195,1.8866305395496e-05,"7","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"CNTNAP5",3.33864974427369e-10,4.91628438078231,0.169,0.032,2.09366725463403e-05,"7","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"PTPN5",3.88403189915558e-10,-10.7562619476102,0,0.102,2.43567640396046e-05,"7","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"OXR1",1.34216839469583e-09,6.99328796410324,0.434,0.256,8.41673800313757e-05,"7","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"SLC30A10",2.19585171626005e-09,3.77773716259037,0.155,0.022,0.000137701861126667,"7","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"LINC02018",2.65546687168949e-09,5.26724901263357,0.134,0.01,0.000166524327523648,"7","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"PLCH1",3.59269285084542e-09,-5.26454824796195,0.009,0.131,0.000225297768676516,"7","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
